Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1419941463.5364625454;-86.49550628662109375;-94.509124755859375
1419942462.5374615192;-86.14009857177734375;-100.22968292236328125
1419943461.5384604931;-85.9637451171875;-89.09521484375
1419944460.5394594669;-84.843902587890625;-88.40966033935546875
1419945459.5404584408;-85.43701934814453125;-92.60050201416015625
1419946458.5414574146;-89.06110382080078125;-94.59574127197265625
1419947457.5424563885;-83.6667327880859375;-90.14926910400390625
1419948456.5434553623;-81.754730224609375;-88.32427215576171875
1419949455.5444543362;-81.6243438720703125;-85.91988372802734375
1419950454.54545331;-82.63367462158203125;-84.629608154296875
1419951453.5464522839;-83.47167205810546875;-89.76464080810546875
1419952452.5474512577;-85.02780914306640625;-90.80092620849609375
1419953451.5484502316;-87.7646942138671875;-89.90673828125
1419954450.5494492054;-84.2906341552734375;-89.12461090087890625
1419955449.5504481792;-83.1684722900390625;-87.37303924560546875
1419956448.5514471531;-83.293212890625;-86.87537384033203125
1419957447.5524461269;-85.02555084228515625;-89.0269927978515625
1419958446.5534451008;-89.51866912841796875;-95.425018310546875
1419959445.5544440746;-94.1429443359375;-100.95638275146484375
1419960444.5554430485;-86.6983795166015625;-94.20149993896484375
1419961443.5564420223;-83.6790008544921875;-93.90085601806640625
1419962442.5574409962;-82.407318115234375;-96.4970550537109375
1419963441.55843997;-81.95813751220703125;-95.00293731689453125
1419964440.5594389439;-81.93572998046875;-96.8109130859375
1419965439.5604379177;-82.5943450927734375;-89.11048126220703125
1419966438.5614368916;-83.71251678466796875;-87.0091552734375
1419967437.5624358654;-83.75421905517578125;-88.19736480712890625
1419968436.5634348392;-85.755340576171875;-88.57202911376953125
1419969435.5644338131;-84.50720977783203125;-86.75634002685546875
1419970434.5654327869;-84.498077392578125;-87.04498291015625
1419971433.5664317608;-86.1981048583984375;-90.59964752197265625
1419972432.5674307346;-91.35292816162109375;-101.20288848876953125
1419973431.5684297085;-88.0681915283203125;-98.227203369140625
1419974430.5694286823;-85.65178680419921875;-91.30377960205078125
1419975429.5704276562;-85.1251068115234375;-91.41736602783203125
1419976428.57142663;-85.52074432373046875;-103.54323577880859375
1419977427.5724256039;-87.90979766845703125;-98.48343658447265625
1419978426.5734245777;-87.52539825439453125;-91.95212554931640625
1419979425.5744235516;-85.3579559326171875;-95.56735992431640625
1419980424.5754225254;-84.83518218994140625;-90.6565399169921875
1419981423.5764214993;-84.9481658935546875;-86.65876007080078125
1419982422.5774204731;-85.99123382568359375;-88.934844970703125
1419983421.5784194469;-88.262908935546875;-93.54004669189453125
1419984420.5794184208;-91.6429443359375;-100.25746917724609375
1419985419.5804173946;-91.65114593505859375;-97.3066253662109375
1419986418.5814163685;-89.6146240234375;-92.29291534423828125
1419987417.5824153423;-88.5017852783203125;-92.63376617431640625
1419988416.5834143162;-86.46770477294921875;-93.53884124755859375
1419989415.58441329;-86.2310791015625;-94.874237060546875
1419990414.5854122639;-87.107513427734375;-92.51824188232421875
1419991413.5864112377;-90.2346649169921875;-94.64636993408203125
1419992412.5874102116;-90.2571258544921875;-94.25724029541015625
1419993411.5884091854;-87.657806396484375;-94.41448974609375
1419994410.5894081593;-87.368560791015625;-96.72417449951171875
1419995409.5904071331;-88.3005828857421875;-92.83599853515625
1419996408.5914061069;-85.88238525390625;-89.14998626708984375
1419997407.5924050808;-84.8066253662109375;-88.9313507080078125
1419998406.5934040546;-84.73316192626953125;-89.64727783203125
1419999405.5944030285;-85.62641143798828125;-92.3482513427734375
1420000404.5954020023;-89.286895751953125;-99.007904052734375
1420001403.5964009762;-90.90666961669921875;-96.62363433837890625
1420002402.59739995;-87.24439239501953125;-91.63446044921875
1420003401.5983989239;-86.39002227783203125;-94.67623138427734375
1420004400.5993978977;-86.88222503662109375;-93.37835693359375
1420005399.6003968716;-88.6189727783203125;-92.739013671875
1420006398.6013958454;-89.39556121826171875;-94.94011688232421875
1420007397.6023948193;-85.97170257568359375;-98.19388580322265625
1420008396.6033937931;-84.43370819091796875;-88.1328582763671875
1420009395.604392767;-82.7269134521484375;-86.02899932861328125
1420010394.6053917408;-82.862701416015625;-88.71820068359375
1420011393.6063907146;-84.91780853271484375;-89.650146484375
1420012392.6073896885;-86.3850555419921875;-90.32586669921875
1420013391.6083886623;-86.3299560546875;-97.18070220947265625
1420014390.6093876362;-87.85985565185546875;-93.540924072265625
1420015389.61038661;-92.08248138427734375;-96.9889373779296875
1420016388.6113855839;-88.14905548095703125;-97.36722564697265625
1420017387.6123845577;-85.08402252197265625;-91.41678619384765625
1420018386.6133835316;-84.555389404296875;-86.952880859375
1420019385.6143825054;-85.20072174072265625;-86.96656036376953125
1420020384.6153814793;-85.60860443115234375;-88.18610382080078125
1420021383.6163804531;-84.4325103759765625;-94.676055908203125
