Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;10000.000000;Hz
VBW;10000.000000;Hz
SWT;0.000419;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1419941463.5364625454;-100.94036865234375;-100.94036865234375
1419942462.5374615192;-100.55475616455078125;-100.55475616455078125
1419943461.5384604931;-100.39430999755859375;-100.39430999755859375
1419944460.5394594669;-100.4335174560546875;-100.4335174560546875
1419945459.5404584408;-100.6533050537109375;-100.6533050537109375
1419946458.5414574146;-101.03746795654296875;-101.03746795654296875
1419947457.5424563885;-101.57013702392578125;-101.57013702392578125
1419948456.5434553623;-102.2327117919921875;-102.2327117919921875
1419949455.5444543362;-102.9997100830078125;-102.9997100830078125
1419950454.54545331;-103.8349761962890625;-103.8349761962890625
1419951453.5464522839;-104.68650054931640625;-104.68650054931640625
1419952452.5474512577;-105.48455047607421875;-105.48455047607421875
1419953451.5484502316;-106.1456756591796875;-106.1456756591796875
1419954450.5494492054;-106.5867767333984375;-106.5867767333984375
1419955449.5504481792;-106.745513916015625;-106.745513916015625
1419956448.5514471531;-106.59700775146484375;-106.59700775146484375
1419957447.5524461269;-106.15833282470703125;-106.15833282470703125
1419958446.5534451008;-105.48239898681640625;-105.48239898681640625
1419959445.5544440746;-104.64594268798828125;-104.64594268798828125
1419960444.5554430485;-103.734283447265625;-103.734283447265625
1419961443.5564420223;-102.82701873779296875;-102.82701873779296875
1419962442.5574409962;-101.98908233642578125;-101.98908233642578125
1419963441.55843997;-101.26833343505859375;-101.26833343505859375
1419964440.5594389439;-100.69779205322265625;-100.69779205322265625
1419965439.5604379177;-100.2993011474609375;-100.2993011474609375
1419966438.5614368916;-100.08707427978515625;-100.08707427978515625
1419967437.5624358654;-100.07071685791015625;-100.07071685791015625
1419968436.5634348392;-100.25677490234375;-100.25677490234375
1419969435.5644338131;-100.64946746826171875;-100.64946746826171875
1419970434.5654327869;-101.248443603515625;-101.248443603515625
1419971433.5664317608;-102.042572021484375;-102.042572021484375
1419972432.5674307346;-102.9939422607421875;-102.9939422607421875
1419973431.5684297085;-104.007232666015625;-104.007232666015625
1419974430.5694286823;-104.88896942138671875;-104.88896942138671875
1419975429.5704276562;-105.36235809326171875;-105.36235809326171875
1419976428.57142663;-105.23732757568359375;-105.23732757568359375
1419977427.5724256039;-104.59832763671875;-104.59832763671875
1419978426.5734245777;-103.7085418701171875;-103.7085418701171875
1419979425.5744235516;-102.79339599609375;-102.79339599609375
1419980424.5754225254;-101.9718475341796875;-101.9718475341796875
1419981423.5764214993;-101.28717803955078125;-101.28717803955078125
1419982422.5774204731;-100.7448577880859375;-100.7448577880859375
1419983421.5784194469;-100.33428955078125;-100.33428955078125
1419984420.5794184208;-100.03924560546875;-100.03924560546875
1419985419.5804173946;-99.84235382080078125;-99.84235382080078125
1419986418.5814163685;-99.72708892822265625;-99.72708892822265625
1419987417.5824153423;-99.6781463623046875;-99.6781463623046875
1419988416.5834143162;-99.6813507080078125;-99.6813507080078125
1419989415.58441329;-99.72310638427734375;-99.72310638427734375
1419990414.5854122639;-99.79003143310546875;-99.79003143310546875
1419991413.5864112377;-99.8688507080078125;-99.8688507080078125
1419992412.5874102116;-99.94704437255859375;-99.94704437255859375
1419993411.5884091854;-100.01398468017578125;-100.01398468017578125
1419994410.5894081593;-100.0627288818359375;-100.0627288818359375
1419995409.5904071331;-100.09168243408203125;-100.09168243408203125
1419996408.5914061069;-100.10575103759765625;-100.10575103759765625
1419997407.5924050808;-100.11666107177734375;-100.11666107177734375
1419998406.5934040546;-100.14255523681640625;-100.14255523681640625
1419999405.5944030285;-100.20680999755859375;-100.20680999755859375
1420000404.5954020023;-100.33704376220703125;-100.33704376220703125
1420001403.5964009762;-100.564453125;-100.564453125
1420002402.59739995;-100.9240264892578125;-100.9240264892578125
1420003401.5983989239;-101.4554901123046875;-101.4554901123046875
1420004400.5993978977;-102.2066650390625;-102.2066650390625
1420005399.6003968716;-103.2389678955078125;-103.2389678955078125
1420006398.6013958454;-104.639739990234375;-104.639739990234375
1420007397.6023948193;-106.549102783203125;-106.549102783203125
1420008396.6033937931;-109.22870635986328125;-109.22870635986328125
1420009395.604392767;-113.2960205078125;-113.2960205078125
1420010394.6053917408;-121.0644378662109375;-121.0644378662109375
1420011393.6063907146;-129.189483642578125;-129.189483642578125
1420012392.6073896885;-116.86182403564453125;-116.86182403564453125
1420013391.6083886623;-112.49187469482421875;-112.49187469482421875
1420014390.6093876362;-110.08492279052734375;-110.08492279052734375
1420015389.61038661;-108.61981964111328125;-108.61981964111328125
1420016388.6113855839;-107.69475555419921875;-107.69475555419921875
