Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1419941463.5364625454;-82.19451141357421875;-90.20253753662109375
1419942462.5374615192;-82.06183624267578125;-87.606231689453125
1419943461.5384604931;-82.84575653076171875;-85.29895782470703125
1419944460.5394594669;-83.3333587646484375;-88.69182586669921875
1419945459.5404584408;-83.26689910888671875;-92.94474029541015625
1419946458.5414574146;-83.800872802734375;-95.6292877197265625
1419947457.5424563885;-85.55556488037109375;-94.4451446533203125
1419948456.5434553623;-87.98381805419921875;-92.17723846435546875
1419949455.5444543362;-89.81621551513671875;-96.51651763916015625
1419950454.54545331;-90.53388214111328125;-95.31244659423828125
1419951453.5464522839;-89.78607940673828125;-99.06505584716796875
1419952452.5474512577;-90.32183837890625;-98.85158538818359375
1419953451.5484502316;-91.6982421875;-94.02849578857421875
1419954450.5494492054;-90.16878509521484375;-92.80995941162109375
1419955449.5504481792;-88.95833587646484375;-91.3965606689453125
1419956448.5514471531;-88.64070892333984375;-92.8098602294921875
1419957447.5524461269;-86.9871978759765625;-89.5868682861328125
1419958446.5534451008;-84.97933197021484375;-88.860687255859375
1419959445.5544440746;-84.56353759765625;-86.43848419189453125
1419960444.5554430485;-84.766143798828125;-85.8571624755859375
1419961443.5564420223;-84.66949462890625;-88.80931854248046875
1419962442.5574409962;-85.1680755615234375;-95.484130859375
1419963441.55843997;-87.8602294921875;-102.86614227294921875
1419964440.5594389439;-90.21022796630859375;-107.51831817626953125
1419965439.5604379177;-88.77789306640625;-101.16794586181640625
1419966438.5614368916;-89.87285614013671875;-93.60986328125
1419967437.5624358654;-89.6872406005859375;-93.70609283447265625
1419968436.5634348392;-89.24539947509765625;-92.52178955078125
1419969435.5644338131;-87.34087371826171875;-93.61890411376953125
1419970434.5654327869;-87.282318115234375;-95.48702239990234375
1419971433.5664317608;-88.72359466552734375;-101.59716033935546875
1419972432.5674307346;-86.404571533203125;-95.92778778076171875
1419973431.5684297085;-86.17722320556640625;-92.8458099365234375
1419974430.5694286823;-86.87438201904296875;-90.633148193359375
1419975429.5704276562;-86.96187591552734375;-91.11319732666015625
1419976428.57142663;-87.34870147705078125;-93.32654571533203125
1419977427.5724256039;-90.764373779296875;-95.98520660400390625
1419978426.5734245777;-89.4723052978515625;-98.50983428955078125
1419979425.5744235516;-89.713897705078125;-100.8607177734375
1419980424.5754225254;-90.34198760986328125;-95.56713104248046875
1419981423.5764214993;-89.5183868408203125;-92.66561126708984375
1419982422.5774204731;-89.52114105224609375;-92.62085723876953125
1419983421.5784194469;-89.74980926513671875;-91.9996795654296875
1419984420.5794184208;-87.382080078125;-89.80206298828125
1419985419.5804173946;-85.8007049560546875;-88.8351287841796875
1419986418.5814163685;-85.74451446533203125;-87.2596893310546875
1419987417.5824153423;-86.77104949951171875;-89.0010833740234375
1419988416.5834143162;-88.4656524658203125;-92.85173797607421875
1419989415.58441329;-88.61377716064453125;-96.66384124755859375
1419990414.5854122639;-86.53781890869140625;-91.662689208984375
1419991413.5864112377;-84.86418914794921875;-89.9851837158203125
1419992412.5874102116;-84.41217041015625;-88.944091796875
1419993411.5884091854;-84.50408935546875;-88.43154144287109375
1419994410.5894081593;-85.2272796630859375;-90.9118194580078125
1419995409.5904071331;-85.93222808837890625;-93.43744659423828125
1419996408.5914061069;-86.32820892333984375;-96.8966522216796875
1419997407.5924050808;-86.57537078857421875;-94.9571380615234375
