Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420300000.000000;Hz
Freq Offset;0.000000;Hz
Start;1418400000.000000;Hz
Stop;1422200000.000000;Hz
Span;3800000.000000;Hz
Ref Level;1.857600;dBm
Level Offset;0.000000;dB
Rf Att;11.000000;dB
El Att;0.000000;dB
RBW;50000.000000;Hz
VBW;50000.000000;Hz
SWT;0.001010;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;75.000000;%
Level Range;90.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1418538561.4385595322;-92.3039093017578125;-92.3039093017578125
1418542357.6423556805;-94.69610595703125;-94.69610595703125
1418546153.8461518288;-97.4093475341796875;-97.4093475341796875
1418549950.0499479771;-95.94720458984375;-95.94720458984375
1418553746.2537441254;-93.326934814453125;-93.326934814453125
1418557542.4575402737;-91.46141815185546875;-91.46141815185546875
1418561338.661336422;-90.3656768798828125;-90.3656768798828125
1418565134.8651325703;-89.9879608154296875;-89.9879608154296875
1418568931.0689287186;-89.92657470703125;-89.92657470703125
1418572727.2727248669;-90.23792266845703125;-90.23792266845703125
1418576523.4765210152;-91.10390472412109375;-91.10390472412109375
1418580319.6803171635;-92.466217041015625;-92.466217041015625
1418584115.8841133118;-93.984527587890625;-93.984527587890625
1418587912.0879094601;-94.08266448974609375;-94.08266448974609375
1418591708.2917056084;-92.71556854248046875;-92.71556854248046875
1418595504.4955017567;-91.60858917236328125;-91.60858917236328125
1418599300.699297905;-90.6934356689453125;-90.6934356689453125
1418603096.9030940533;-90.17472076416015625;-90.17472076416015625
1418606893.1068902016;-89.80504608154296875;-89.80504608154296875
1418610689.3106863499;-89.62593841552734375;-89.62593841552734375
1418614485.5144824982;-89.5085601806640625;-89.5085601806640625
1418618281.7182786465;-89.4504547119140625;-89.4504547119140625
1418622077.9220747948;-89.50855255126953125;-89.50855255126953125
1418625874.1258709431;-89.74491119384765625;-89.74491119384765625
1418629670.3296670914;-90.301483154296875;-90.301483154296875
1418633466.5334632397;-91.174163818359375;-91.174163818359375
1418637262.737259388;-92.4661407470703125;-92.4661407470703125
1418641058.9410555363;-94.1818695068359375;-94.1818695068359375
1418644855.1448516846;-96.4507598876953125;-96.4507598876953125
1418648651.3486478329;-98.8208465576171875;-98.8208465576171875
1418652447.5524439812;-100.50725555419921875;-100.50725555419921875
1418656243.7562401295;-99.1683197021484375;-99.1683197021484375
1418660039.9600362778;-97.854736328125;-97.854736328125
1418663836.1638324261;-96.713958740234375;-96.713958740234375
1418667632.3676285744;-95.947052001953125;-95.947052001953125
1418671428.5714247227;-95.3559417724609375;-95.3559417724609375
1418675224.775220871;-95.1303253173828125;-95.1303253173828125
1418679020.9790170193;-95.0196685791015625;-95.0196685791015625
1418682817.1828131676;-94.59064483642578125;-94.59064483642578125
1418686613.3866093159;-93.88735198974609375;-93.88735198974609375
1418690409.5904054642;-92.97219085693359375;-92.97219085693359375
1418694205.7942016125;-92.1443328857421875;-92.1443328857421875
1418698001.9979977608;-91.31647491455078125;-91.31647491455078125
1418701798.2017939091;-90.82798004150390625;-90.82798004150390625
1418705594.4055900574;-90.56069183349609375;-90.56069183349609375
1418709390.6093862057;-90.56069183349609375;-90.56069183349609375
1418713186.813182354;-90.69329833984375;-90.69329833984375
1418716983.0169785023;-91.103729248046875;-91.103729248046875
1418720779.2207746506;-91.75820159912109375;-91.75820159912109375
1418724575.4245707989;-92.80014801025390625;-92.80014801025390625
1418728371.6283669472;-94.1817626953125;-94.1817626953125
1418732167.8321630955;-95.9469757080078125;-95.9469757080078125
1418735964.0359592438;-98.16487884521484375;-98.16487884521484375
1418739760.2397553921;-100.50714874267578125;-100.50714874267578125
1418743556.4435515404;-99.16820526123046875;-99.16820526123046875
1418747352.6473476887;-96.58124542236328125;-96.58124542236328125
1418751148.851143837;-94.3837432861328125;-94.3837432861328125
1418754945.0549399853;-92.5483245849609375;-92.5483245849609375
1418758741.2587361336;-91.103668212890625;-91.103668212890625
1418762537.4625322819;-89.74474334716796875;-89.74474334716796875
1418766333.6663284302;-88.465911865234375;-88.465911865234375
1418770129.8701245785;-87.35143280029296875;-87.35143280029296875
1418773926.0739207268;-86.44537353515625;-86.44537353515625
1418777722.2777168751;-85.7753753662109375;-85.7753753662109375
1418781518.4815130234;-85.4041290283203125;-85.4041290283203125
1418785314.6853091717;-85.33173370361328125;-85.33173370361328125
1418789110.88910532;-85.3678436279296875;-85.3678436279296875
1418792907.0929014683;-85.6623077392578125;-85.6623077392578125
1418796703.2966976166;-86.4044647216796875;-86.4044647216796875
1418800499.5004937649;-87.53522491455078125;-87.53522491455078125
1418804295.7042899132;-89.10955810546875;-89.10955810546875
1418808091.9080860615;-91.033843994140625;-91.033843994140625
1418811888.1118822098;-93.14751434326171875;-93.14751434326171875
1418815684.3156783581;-94.91024017333984375;-94.91024017333984375
1418819480.5194745064;-94.9102325439453125;-94.9102325439453125
1418823276.7232706547;-92.97202301025390625;-92.97202301025390625
1418827072.927066803;-90.62659454345703125;-90.62659454345703125
1418830869.1308629513;-88.46582794189453125;-88.46582794189453125
1418834665.3346590996;-86.694671630859375;-86.694671630859375
1418838461.5384552479;-85.2598876953125;-85.2598876953125
1418842257.7422513962;-84.1538238525390625;-84.1538238525390625
1418846053.9460475445;-83.371856689453125;-83.371856689453125
1418849850.1498436928;-82.84189605712890625;-82.84189605712890625
1418853646.3536398411;-82.523101806640625;-82.523101806640625
1418857442.5574359894;-82.4193878173828125;-82.4193878173828125
1418861238.7612321377;-82.4193878173828125;-82.4193878173828125
1418865034.965028286;-82.57541656494140625;-82.57541656494140625
1418868831.1688244343;-82.9507904052734375;-82.9507904052734375
1418872627.3726205826;-83.57552337646484375;-83.57552337646484375
